Rank,Country,Important,Unimportant
1,Estonia,16%,78%
2,Sweden,17%,82%
3,Denmark,19%,80%
4,Czechia[a],21%,75%
5,Norway[a],22%,78%
6,Japan,24%,75%
7,Hong Kong,24%,74%
8,United Kingdom,27%,73%
9,Finland[a],28%,70%
10,Vietnam,30%,69%
11,France,30%,69%
12,Australia[a],32%,68%
13,Netherlands[a],33%,67%
14,New Zealand[a],33%,66%
15,Belgium[a],33%,58%
16,Cuba[a],34%,64%
17,Bulgaria[a],34%,62%
18,Russia,34%,66%
19,Belarus,34%,56%
20,Luxembourg,39%,59%
21,Azerbaijan,39%,53%
22,Hungary,39%,58%
23,Latvia,39%,58%
24,Germany,40%,59%
25,Uruguay,41%,59%
26,Switzerland,41%,57%
27,Canada,42%,57%
28,Lithuania,42%,49%
29,South Korea,43%,56%
30,Taiwan,45%,54%
31,Ukraine,46%,48%
32,Slovenia,47%,52%
33,Slovakia[a],47%,52%
34,Spain,49%,51%
35,Albania,50%,49%
36,Israel,51%,48%
37,Kazakhstan,53%,48%
38,Serbia,54%,44%
39,Ireland,54%,46%
40,Austria[a],55%,43%
41,Uzbekistan,59%,38%
42,Belize[a],62%,33%
43,Argentina,65%,34%
44,United States,69%,31%
45,Nicaragua,70%,30%
46,Croatia,70%,28%
47,Chile,70%,29%
48,Singapore,70%,29%
49,Jamaica[a],70%,30%
50,Montenegro,71%,28%
51,Greece,71%,28%
52,Portugal[a],72%,26%
53,Italy,72%,25%
54,Moldova,72%,19%
55,Kyrgyzstan,72%,25%
56,Iran[a],73%,27%
57,Mexico,73%,25%
58,Poland,75%,19%
60,Cyprus,75%,25%
61,North Macedonia,76%,22%
63,Botswana[a],77%,23%
64,Bosnia and Herzegovina,77%,21%
65,Venezuela,79%,21%
66,Costa Rica,79%,20%
67,Armenia,79%,19%
68,Turkmenistan,80%,18%
69,Togo[a],80%,13%
70,Georgia,81%,16%
71,Turkey,82%,15%
72,Ecuador,82%,17%
73,Colombia,83%,16%
74,Peru,84%,14%
75,Iraq,84%,11%
76,Romania,84%,12%
77,South Africa,85%,15%
79,Tajikistan,85%,12%
80,Haiti[a],85%,12%
81,Mozambique[a],86%,14%
82,Malta,86%,10%
83,Brazil,87%,13%
84,Dominican Republic,87%,13%
85,Lebanon,87%,12%
86,Zimbabwe,88%,12%
87,Ivory Coast,88%,12%
88,Burkina Faso[a],88%,12%
89,Panama,88%,11%
90,Angola[a],88%,11%
91,Guatemala,88%,9%
92,Tanzania,89%,11%
93,Bolivia,89%,10%
94,Syria,89%,9%
95,India,90%,10%
96,United Arab Emirates,91%,8%
97,Kuwait,91%,6%
98,Namibia[a],92%,9%
99,Trinidad and Tobago[a],92%,8%
100,Paraguay,92%,8%
101,Pakistan,92%,8%
102,State of Palestine,93%,7%
103,Sudan,93%,7%
104,Uganda,93%,7%
105,Madagascar[a],93%,7%
106,Benin[a],93%,7%
107,Nepal,93%,6%
108,Tunisia,93%,5%
109,Saudi Arabia,93%,4%
110,Central African Republic[a],94%,6%
111,Kenya,94%,6%
112,Liberia[a],94%,6%
113,Democratic Republic of the Congo,94%,5%
114,Bahrain,94%,4%
115,Ghana,95%,5%
116,Zambia,95%,5%
117,Qatar,95%,4%
118,Algeria,95%,4%
119,Chad,95%,5%
120,Rwanda,95%,5%
121,Republic of the Congo[a],95%,5%
122,Mali,95%,3%
123,Philippines,96%,4%
124,Cameroon,96%,4%
125,Malaysia,96%,3%
126,Nigeria,96%,3%
127,Cambodia,96%,3%
128,Senegal,96%,4%
129,Jordan[a],96%,4%
130,Myanmar[a],97%,3%
131,Afghanistan,97%,3%
132,Laos[a],97%,3%
133,Guinea[a],97%,3%
134,Morocco,97%,2%
135,Egypt,97%,2%
136,Comoros,97%,2%
137,Thailand,97%,2%
138,Burundi,98%,2%
139,Djibouti,98%,2%
140,Mauritania,98%,2%
141,Malawi,99%,1%
142,Indonesia,99%,1%
143,Yemen,99%,1%
144,Niger,100%,0%
145,Somalia[a],100%,0%
146,Bangladesh,100%,0%
147,Oman,100%,0%
148,Sri Lanka,100%,0%
